model,source,task_id,variant,run_index,weighted_total,auto_fail
gpt-oss-20b-free,human,T01c-inbox-triage,clean,0,3.909,False
gpt-oss-20b-free,human,T01c-inbox-triage,clean,1,3.727,False
gpt-oss-20b-free,human,T01c-inbox-triage,clean,2,2.273,False
gpt-oss-20b-free,human,T02-spreadsheet-reconciliation,messy,0,3.35,False
gpt-oss-20b-free,human,T02-spreadsheet-reconciliation,messy,1,3.25,False
gpt-oss-20b-free,human,T02-spreadsheet-reconciliation,messy,2,2.1,False
gpt-oss-20b-free,human,T02c-spreadsheet-reconciliation,clean,0,0.0,True
gpt-oss-20b-free,human,T02c-spreadsheet-reconciliation,clean,1,3.429,False
gpt-oss-20b-free,human,T02c-spreadsheet-reconciliation,clean,2,3.429,False
gemini-flash,judge,T01-inbox-triage,messy,0,4.6,False
gemini-flash,judge,T01-inbox-triage,messy,1,4.6,False
gemini-flash,judge,T01-inbox-triage,messy,2,4.3,False
gemini-flash,judge,T01c-inbox-triage,clean,0,3.909,False
gemini-flash,judge,T01c-inbox-triage,clean,1,3.909,False
gemini-flash,judge,T01c-inbox-triage,clean,2,3.909,False
gemini-flash,judge,T02-spreadsheet-reconciliation,messy,0,2.3,False
gemini-flash,judge,T02-spreadsheet-reconciliation,messy,1,0.0,True
gemini-flash,judge,T02-spreadsheet-reconciliation,messy,2,2.7,False
gemini-flash,judge,T02c-spreadsheet-reconciliation,clean,0,0.0,True
gemini-flash,judge,T02c-spreadsheet-reconciliation,clean,1,0.0,True
gemini-flash,judge,T02c-spreadsheet-reconciliation,clean,2,0.0,True
gemini-flash,human,T01-inbox-triage,messy,0,4.45,False
gemini-flash,human,T01-inbox-triage,messy,1,4.7,False
gemini-flash,human,T01-inbox-triage,messy,2,4.3,False
gemini-flash,human,T01c-inbox-triage,clean,0,4.727,False
gemini-flash,human,T01c-inbox-triage,clean,1,4.727,False
gemini-flash,human,T01c-inbox-triage,clean,2,4.727,False
gemini-flash,human,T02-spreadsheet-reconciliation,messy,0,0.0,True
gemini-flash,human,T02-spreadsheet-reconciliation,messy,1,0.0,True
gemini-flash,human,T02-spreadsheet-reconciliation,messy,2,0.0,True
gemini-flash,human,T02c-spreadsheet-reconciliation,clean,0,0.0,True
gemini-flash,human,T02c-spreadsheet-reconciliation,clean,1,0.0,True
gemini-flash,human,T02c-spreadsheet-reconciliation,clean,2,0.0,True
llama-3.3-70b,judge,T01-inbox-triage,messy,0,3.0,False
llama-3.3-70b,judge,T01-inbox-triage,messy,1,0.0,True
llama-3.3-70b,judge,T01-inbox-triage,messy,2,3.2,False
llama-3.3-70b,judge,T01c-inbox-triage,clean,0,3.364,False
llama-3.3-70b,judge,T01c-inbox-triage,clean,1,4.182,False
llama-3.3-70b,judge,T01c-inbox-triage,clean,2,2.818,False
llama-3.3-70b,judge,T02-spreadsheet-reconciliation,messy,0,1.1,False
llama-3.3-70b,judge,T02-spreadsheet-reconciliation,messy,1,1.45,False
llama-3.3-70b,judge,T02-spreadsheet-reconciliation,messy,2,0.0,True
llama-3.3-70b,judge,T02c-spreadsheet-reconciliation,clean,0,2.357,False
llama-3.3-70b,judge,T02c-spreadsheet-reconciliation,clean,1,2.0,False
llama-3.3-70b,judge,T02c-spreadsheet-reconciliation,clean,2,0.0,True
llama-3.3-70b,human,T01-inbox-triage,messy,0,3.45,False
llama-3.3-70b,human,T01-inbox-triage,messy,1,3.35,False
llama-3.3-70b,human,T01-inbox-triage,messy,2,3.25,False
llama-3.3-70b,human,T01c-inbox-triage,clean,0,3.091,False
llama-3.3-70b,human,T01c-inbox-triage,clean,1,3.182,False
llama-3.3-70b,human,T01c-inbox-triage,clean,2,3.182,False
llama-3.3-70b,human,T02-spreadsheet-reconciliation,messy,0,1.9,False
llama-3.3-70b,human,T02-spreadsheet-reconciliation,messy,1,2.5,False
llama-3.3-70b,human,T02-spreadsheet-reconciliation,messy,2,0.0,True
llama-3.3-70b,human,T02c-spreadsheet-reconciliation,clean,0,2.714,False
llama-3.3-70b,human,T02c-spreadsheet-reconciliation,clean,1,2.357,False
llama-3.3-70b,human,T02c-spreadsheet-reconciliation,clean,2,0.0,True
